Timestamp(ms),CO_PPM,Temperature(C),Pressure(hPa),Altitude(m),Status
55665,4.43,21.75,992.64,173.02,Safe
57685,4.43,21.75,992.64,173.06,Safe
59705,4.58,21.75,992.63,173.07,Safe
61725,4.43,21.75,992.63,173.11,Safe
63745,4.43,21.76,992.64,173.05,Safe
65765,4.43,21.76,992.64,173.06,Safe
67785,4.43,21.76,992.64,173.01,Safe
69805,4.58,21.77,992.64,173.00,Safe
71825,4.43,21.77,992.64,173.04,Safe
73845,4.28,21.77,992.63,173.09,Safe
75867,4.28,21.77,992.63,173.14,Safe
77887,4.14,21.77,992.62,173.16,Safe
79907,4.28,21.77,992.62,173.17,Safe
81927,4.28,21.78,992.62,173.16,Safe
83947,4.14,21.78,992.62,173.17,Safe
85967,4.14,21.78,992.62,173.21,Safe
87987,4.28,21.79,992.61,173.24,Safe
90007,4.43,21.79,992.61,173.26,Safe
92027,4.14,21.79,992.61,173.27,Safe
94047,4.14,21.79,992.61,173.32,Safe
96067,4.14,21.79,992.60,173.33,Safe
3141,2.92,21.58,992.31,175.84,Safe
5161,2.92,21.60,992.24,176.40,Safe
7181,2.92,21.59,992.25,176.30,Safe
9203,2.92,21.59,992.26,176.22,Safe
11223,2.92,21.59,992.27,176.20,Safe
13243,2.92,21.59,992.27,176.13,Safe
15263,2.80,21.59,992.28,176.07,Safe
17283,2.80,21.58,992.28,176.05,Safe
19303,2.92,21.58,992.29,176.01,Safe
21323,2.80,21.58,992.29,175.96,Safe
23343,2.80,21.57,992.29,175.95,Safe
25363,2.92,21.57,992.29,175.97,Safe
27383,2.92,21.57,992.29,175.97,Safe
29403,2.80,21.57,992.29,175.94,Safe
31423,2.92,21.56,992.30,175.93,Safe
33443,2.92,21.56,992.30,175.93,Safe
35463,2.92,21.57,992.30,175.92,Safe
37485,2.92,21.57,992.30,175.89,Safe
39505,2.80,21.57,992.30,175.93,Safe
41525,2.92,21.57,992.29,175.95,Safe
43545,2.92,21.57,992.29,175.99,Safe
45565,2.92,21.57,992.29,175.98,Safe
47585,2.80,21.58,992.29,175.98,Safe
49605,2.92,21.58,992.28,176.03,Safe
51625,2.92,21.58,992.28,176.06,Safe
53645,2.92,21.57,992.28,176.07,Safe
55665,2.92,21.57,992.28,176.09,Safe
57685,2.80,21.57,992.27,176.12,Safe
59705,2.80,21.57,992.27,176.15,Safe
61725,2.80,21.57,992.27,176.15,Safe
63747,3.05,21.56,992.27,176.18,Safe
65767,2.92,21.56,992.26,176.27,Safe
67787,2.92,21.56,992.24,176.37,Safe
69807,2.92,21.56,992.24,176.43,Safe
71827,2.92,21.56,992.23,176.47,Safe
73847,2.92,21.55,992.22,176.55,Safe
75867,2.80,21.55,992.22,176.61,Safe
77887,2.92,21.55,992.21,176.69,Safe
79907,2.92,21.55,992.20,176.72,Safe
81927,2.92,21.54,992.19,176.79,Safe
83947,2.92,21.54,992.18,176.88,Safe
85967,2.92,21.54,992.18,176.92,Safe
87987,3.05,21.54,992.17,176.99,Safe
90007,2.80,21.54,992.16,177.08,Safe
92029,2.80,21.54,992.16,177.12,Safe
94049,2.92,21.54,992.15,177.19,Safe
96069,2.80,21.54,992.14,177.22,Safe
98089,2.92,21.54,992.14,177.24,Safe
100109,2.92,21.54,992.14,177.29,Safe
102129,2.92,21.54,992.13,177.32,Safe
104149,2.92,21.54,992.13,177.33,Safe
106169,2.80,21.54,992.13,177.37,Safe
108189,2.80,21.54,992.12,177.41,Safe
110209,2.80,21.53,992.12,177.46,Safe
112229,2.92,21.53,992.11,177.53,Safe
114249,2.92,21.53,992.10,177.57,Safe
116269,2.92,21.52,992.10,177.62,Safe
118289,2.92,21.52,992.10,177.62,Safe
120317,3.05,21.52,992.10,177.63,Safe
122337,2.92,21.52,992.09,177.66,Safe
124357,2.80,21.52,992.09,177.66,Safe
126377,2.92,21.52,992.09,177.70,Safe
128397,2.92,21.52,992.08,177.74,Safe
130417,2.92,21.51,992.08,177.75,Safe
132437,3.05,21.51,992.07,177.81,Safe
