Timestamp(ms),CO_PPM,Temperature(C),Pressure(hPa),Altitude(m),Status
612760,12.79,20.50,1002.83,39.41,87.15,Warning
614778,13.02,20.50,1002.83,39.38,87.13,Warning
616796,13.02,20.50,1002.83,39.40,87.13,Warning
618816,13.02,20.50,1002.83,39.39,87.12,Warning
620834,13.02,20.50,1002.83,39.40,87.13,Warning
622852,12.79,20.50,1002.83,39.41,87.15,Warning
624870,13.26,20.50,1002.83,39.40,87.12,Warning
626888,13.02,20.50,1002.83,39.39,87.14,Warning
628906,13.26,20.50,1002.83,39.41,87.14,Warning
630924,13.26,20.50,1002.83,39.42,87.16,Warning
632942,13.26,20.50,1002.82,39.44,87.17,Warning
634960,12.79,20.50,1002.82,39.46,87.18,Warning
636978,13.02,20.49,1002.82,39.45,87.21,Warning
638998,13.26,20.49,1002.82,39.47,87.17,Warning
641016,13.26,20.49,1002.83,39.45,87.14,Warning
643034,13.02,20.49,1002.83,39.42,87.11,Warning
645052,13.02,20.49,1002.83,39.42,87.10,Warning
647070,13.02,20.49,1002.83,39.42,87.10,Warning
649088,13.02,20.49,1002.83,39.44,87.08,Warning
651106,13.26,20.49,1002.83,39.41,87.10,Warning
653124,13.26,20.49,1002.83,39.41,87.08,Warning
655142,13.02,20.49,1002.84,39.41,87.07,Warning
657160,13.02,20.49,1002.84,39.42,87.07,Warning
659178,13.02,20.49,1002.84,39.46,87.07,Warning
661198,13.02,20.49,1002.83,39.45,87.09,Warning
663216,13.02,20.49,1002.84,39.45,87.07,Warning
665234,13.02,20.49,1002.83,39.44,87.08,Warning
667252,13.02,20.49,1002.83,39.44,87.08,Warning
669270,12.56,20.49,1002.84,39.45,87.07,Warning
671288,13.02,20.49,1002.84,39.46,87.03,Warning
673306,12.79,20.48,1002.84,39.47,87.04,Warning
675324,12.79,20.48,1002.85,39.47,86.98,Warning
677342,13.02,20.48,1002.85,39.48,86.91,Warning
679360,13.02,20.48,1002.86,39.47,86.90,Warning
681378,12.79,20.48,1002.86,39.45,86.89,Warning
683405,13.02,20.48,1002.86,39.46,86.87,Warning
685423,12.56,20.48,1002.86,39.45,86.86,Warning
687441,13.02,20.48,1002.87,39.48,86.82,Warning
689459,12.79,20.47,1002.86,39.47,86.84,Warning
691477,13.02,20.47,1002.86,39.47,86.84,Warning
693495,12.56,20.47,1002.86,39.47,86.85,Warning
695513,12.79,20.47,1002.85,39.47,86.91,Warning
697531,12.79,20.47,1002.85,39.46,86.98,Warning
699549,12.79,20.47,1002.84,39.47,86.99,Warning
701567,12.79,20.47,1002.84,39.47,87.02,Warning
703587,12.56,20.47,1002.84,39.46,87.02,Warning
705605,12.56,20.47,1002.84,39.45,87.04,Warning
707623,12.79,20.47,1002.84,39.46,87.04,Warning
709641,12.79,20.47,1002.84,39.43,87.05,Warning
711659,12.79,20.47,1002.84,39.42,87.06,Warning
713677,12.79,20.47,1002.84,39.43,87.06,Warning
715695,12.79,20.47,1002.84,39.45,87.07,Warning
717713,12.79,20.47,1002.83,39.46,87.09,Warning
719731,13.02,20.47,1002.83,39.42,87.09,Warning
721749,12.79,20.47,1002.84,39.42,87.06,Warning
723767,12.56,20.47,1002.84,39.42,87.04,Warning
725787,12.56,20.47,1002.83,39.42,87.09,Warning
727805,12.79,20.47,1002.84,39.43,87.07,Warning
729823,12.79,20.47,1002.84,39.46,87.07,Warning
731841,12.56,20.47,1002.84,39.43,87.06,Warning
733859,12.56,20.47,1002.84,39.45,87.06,Warning
735877,12.56,20.47,1002.84,39.45,87.03,Warning
737895,12.56,20.47,1002.85,39.46,86.99,Warning
739913,12.56,20.47,1002.85,39.45,86.99,Warning
741931,12.56,20.46,1002.84,39.47,87.03,Warning
743949,12.56,20.46,1002.84,39.47,87.03,Warning
745967,12.79,20.46,1002.84,39.46,87.05,Warning
747987,12.79,20.46,1002.84,39.45,87.05,Warning
750005,12.56,20.46,1002.84,39.45,87.03,Warning
752023,12.56,20.46,1002.84,39.47,87.07,Warning
754041,12.79,20.46,1002.84,39.47,87.05,Warning
756059,12.56,20.46,1002.84,39.48,87.03,Warning
758077,12.79,20.46,1002.84,39.47,87.00,Warning
760095,12.79,20.46,1002.85,39.48,86.99,Warning
762113,12.79,20.46,1002.85,39.47,86.98,Warning
764131,13.02,20.46,1002.85,39.46,86.99,Warning
766149,12.79,20.46,1002.85,39.47,86.99,Warning
768169,12.79,20.46,1002.84,39.43,87.02,Warning
770187,12.79,20.46,1002.84,39.44,87.02,Warning
772205,12.79,20.46,1002.84,39.47,87.03,Warning
774223,12.56,20.46,1002.84,39.49,87.05,Warning
776241,12.56,20.46,1002.84,39.49,87.05,Warning
778259,12.11,20.46,1002.84,39.47,87.03,Warning
780277,12.56,20.46,1002.84,39.49,87.03,Warning
782295,12.79,20.45,1002.84,39.49,87.03,Warning
784313,12.79,20.45,1002.84,39.50,87.02,Warning
786331,12.56,20.45,1002.84,39.48,87.03,Warning
788349,12.56,20.45,1002.84,39.48,87.03,Warning
790369,12.79,20.45,1002.84,39.49,87.03,Warning
792387,12.56,20.45,1002.84,39.48,87.07,Warning
794405,12.56,20.45,1002.84,39.48,87.05,Warning
796423,12.79,20.45,1002.84,39.46,87.04,Warning
798441,12.56,20.45,1002.84,39.46,87.03,Warning
800459,12.33,20.45,1002.85,39.43,86.99,Warning
802477,12.56,20.45,1002.85,39.44,86.98,Warning
804495,12.56,20.45,1002.85,39.46,86.95,Warning
806513,12.56,20.45,1002.85,39.43,86.96,Warning
808531,12.56,20.45,1002.85,39.43,86.96,Warning
810549,12.56,20.45,1002.85,39.43,86.95,Warning
812569,12.79,20.45,1002.85,39.43,86.96,Warning
814587,12.56,20.45,1002.85,39.42,86.92,Warning
816605,12.56,20.45,1002.85,39.42,86.93,Warning
818623,12.56,20.45,1002.85,39.41,86.93,Warning
820641,12.33,20.45,1002.85,39.41,86.92,Warning
822659,12.33,20.45,1002.85,39.42,86.93,Warning
824677,12.56,20.46,1002.86,39.40,86.90,Warning
826695,12.56,20.46,1002.85,39.41,86.91,Warning
828713,12.79,20.46,1002.85,39.38,86.93,Warning
830731,12.33,20.46,1002.85,39.37,86.98,Warning
832751,12.56,20.46,1002.84,39.37,87.00,Warning
834769,12.56,20.46,1002.84,39.40,87.01,Warning
836787,12.56,20.46,1002.84,39.38,87.00,Warning
838805,12.56,20.46,1002.85,39.40,86.98,Warning
840823,12.33,20.46,1002.85,39.36,86.96,Warning
842841,12.56,20.46,1002.85,39.41,86.99,Warning
844859,12.56,20.46,1002.85,39.52,86.98,Warning
846877,12.79,20.46,1002.85,39.48,86.93,Warning
848895,12.56,20.46,1002.85,39.43,86.91,Warning
850913,12.56,20.46,1002.85,39.42,86.94,Warning
852931,12.56,20.46,1002.85,39.42,86.93,Warning
854990,12.56,20.46,1002.85,39.38,86.92,Warning
857008,12.33,20.46,1002.85,39.38,86.92,Warning
859026,12.56,20.47,1002.86,39.35,86.90,Warning
861044,12.56,20.47,1002.86,39.36,86.89,Warning
863062,12.56,20.47,1002.86,39.37,86.89,Warning
865080,12.33,20.47,1002.86,39.34,86.89,Warning
867098,12.56,20.47,1002.86,39.35,86.89,Warning
869116,12.56,20.47,1002.86,39.36,86.89,Warning
871134,12.33,20.47,1002.86,39.35,86.89,Warning
873152,12.33,20.47,1002.85,39.34,86.92,Warning
875170,12.56,20.47,1002.85,39.36,86.95,Warning
877190,12.56,20.47,1002.85,39.37,86.96,Warning
879208,12.33,20.47,1002.84,39.36,86.99,Warning
881226,12.33,20.47,1002.84,39.36,87.01,Warning
883244,12.33,20.47,1002.85,39.35,86.97,Warning
885262,12.56,20.47,1002.84,39.35,87.00,Warning
887280,12.33,20.47,1002.84,39.37,87.03,Warning
889298,12.56,20.47,1002.84,39.39,86.99,Warning
891316,12.56,20.47,1002.84,39.39,87.01,Warning
893334,12.33,20.47,1002.85,39.37,86.98,Warning
895352,12.56,20.47,1002.85,39.35,86.94,Warning
897372,12.79,20.47,1002.85,39.34,86.91,Warning
899390,12.33,20.47,1002.86,39.35,86.89,Warning
901408,12.79,20.48,1002.86,39.36,86.84,Warning
903426,12.56,20.48,1002.86,39.36,86.83,Warning
905444,12.56,20.48,1002.86,39.37,86.84,Warning
907462,12.79,20.48,1002.86,39.36,86.87,Warning
909480,12.56,20.48,1002.86,39.36,86.86,Warning
911498,12.56,20.48,1002.86,39.36,86.84,Warning
913516,12.79,20.48,1002.86,39.35,86.85,Warning
915534,12.56,20.48,1002.86,39.35,86.84,Warning
917552,12.79,20.48,1002.86,39.35,86.85,Warning
919572,12.56,20.48,1002.86,39.35,86.85,Warning
921590,12.79,20.48,1002.86,39.37,86.85,Warning
923608,12.56,20.48,1002.86,39.37,86.85,Warning
925626,12.33,20.48,1002.86,39.37,86.86,Warning
927644,12.56,20.48,1002.86,39.37,86.86,Warning
929662,12.56,20.48,1002.86,39.35,86.86,Warning
931680,12.33,20.48,1002.86,39.34,86.87,Warning
933698,12.56,20.48,1002.85,39.37,86.92,Warning
935716,12.56,20.48,1002.84,39.34,87.00,Warning
937734,12.79,20.48,1002.84,39.35,87.04,Warning
939752,12.56,20.48,1002.83,39.35,87.10,Warning
941772,12.33,20.48,1002.83,39.33,87.10,Warning
943790,12.56,20.49,1002.83,39.34,87.12,Warning
945808,12.56,20.49,1002.83,39.34,87.13,Warning
947826,12.33,20.49,1002.82,39.33,87.17,Warning
949844,12.56,20.49,1002.82,39.33,87.17,Warning
951862,12.56,20.49,1002.82,39.30,87.22,Warning
953880,12.33,20.49,1002.82,39.33,87.22,Warning
955898,12.56,20.49,1002.81,39.33,87.27,Warning
957916,12.56,20.49,1002.81,39.33,87.28,Warning
959934,12.56,20.49,1002.81,39.31,87.30,Warning
961954,12.56,20.49,1002.81,39.33,87.26,Warning
963972,12.56,20.49,1002.81,39.34,87.27,Warning
965990,12.56,20.49,1002.81,39.34,87.27,Warning
968008,12.56,20.49,1002.81,39.33,87.29,Warning
970026,12.79,20.49,1002.81,39.36,87.29,Warning
972044,12.79,20.49,1002.81,39.36,87.30,Warning
974062,12.56,20.49,1002.80,39.36,87.35,Warning
976080,12.79,20.49,1002.80,39.36,87.36,Warning
978098,12.56,20.49,1002.80,39.35,87.35,Warning
980116,12.33,20.49,1002.81,39.35,87.32,Warning
982134,12.79,20.49,1002.80,39.35,87.35,Warning
984154,12.56,20.49,1002.80,39.35,87.34,Warning
986172,12.79,20.49,1002.81,39.39,87.32,Warning
988190,13.02,20.49,1002.80,39.39,87.37,Warning
990208,12.79,20.49,1002.80,39.38,87.33,Warning
992226,12.79,20.49,1002.80,39.36,87.38,Warning
994244,12.56,20.49,1002.80,39.38,87.33,Warning
996262,12.56,20.49,1002.80,39.38,87.37,Warning
998280,12.79,20.49,1002.80,39.41,87.34,Warning
1000298,12.79,20.49,1002.81,39.38,87.32,Warning
1002316,12.79,20.49,1002.81,39.38,87.30,Warning
1004334,12.79,20.49,1002.81,39.36,87.28,Warning
1006354,12.79,20.49,1002.81,39.36,87.28,Warning
1008372,12.56,20.49,1002.82,39.38,87.17,Warning
1010390,12.56,20.49,1002.83,39.35,87.10,Warning
1012408,12.79,20.49,1002.84,39.35,87.07,Warning
1014426,12.79,20.49,1002.84,39.35,87.02,Warning
1016444,13.02,20.49,1002.84,39.35,87.00,Warning
1018462,12.79,20.49,1002.85,39.36,86.97,Warning
1020480,12.79,20.49,1002.85,39.35,86.95,Warning
1022498,13.02,20.49,1002.85,39.35,86.94,Warning
1024516,12.79,20.49,1002.85,39.35,86.93,Warning
1026543,13.02,20.49,1002.85,39.34,86.95,Warning
1028561,12.56,20.49,1002.84,39.35,87.00,Warning
1030579,12.79,20.49,1002.84,39.35,87.02,Warning
1032597,12.56,20.49,1002.84,39.35,87.07,Warning
1034615,12.56,20.49,1002.83,39.35,87.12,Warning
1036633,12.56,20.49,1002.82,39.36,87.18,Warning
1038651,12.79,20.49,1002.82,39.34,87.24,Warning
1040669,12.56,20.49,1002.82,39.36,87.24,Warning
1042687,12.56,20.49,1002.82,39.35,87.21,Warning
1044705,12.79,20.49,1002.82,39.35,87.18,Warning
1046725,12.56,20.49,1002.83,39.35,87.15,Warning
1048743,12.56,20.49,1002.83,39.35,87.12,Warning
1050761,13.02,20.49,1002.83,39.35,87.10,Warning
1052779,12.79,20.49,1002.83,39.35,87.10,Warning
1054797,12.79,20.49,1002.83,39.34,87.10,Warning
1056815,12.79,20.49,1002.83,39.35,87.10,Warning
1058833,12.79,20.49,1002.83,39.35,87.13,Warning
1060851,12.79,20.49,1002.82,39.34,87.23,Warning
1062869,12.79,20.49,1002.81,39.36,87.29,Warning
1064887,12.56,20.49,1002.80,39.36,87.33,Warning
1066905,12.56,20.49,1002.80,39.35,87.37,Warning
1068925,12.79,20.49,1002.79,39.35,87.45,Warning
1070943,12.79,20.49,1002.79,39.36,87.43,Warning
1072961,12.79,20.49,1002.79,39.35,87.49,Warning
1074979,12.79,20.49,1002.78,39.38,87.52,Warning
1076997,12.79,20.49,1002.78,39.39,87.55,Warning
1079015,12.56,20.49,1002.78,39.36,87.52,Warning
1081033,12.79,20.49,1002.79,39.35,87.48,Warning
1083051,12.56,20.49,1002.79,39.33,87.45,Warning
1085091,12.56,20.49,1002.79,39.33,87.44,Warning
1087109,12.79,20.49,1002.79,39.34,87.42,Warning
1089129,12.79,20.49,1002.79,39.33,87.42,Warning
1091147,12.56,20.49,1002.80,39.35,87.36,Warning
1093165,12.33,20.49,1002.80,39.36,87.33,Warning
1095183,13.02,20.49,1002.80,39.36,87.35,Warning
1097213,12.79,20.48,1002.80,39.35,87.41,Warning
1099231,12.56,20.48,1002.79,39.36,87.44,Warning
1101249,12.79,20.48,1002.78,39.35,87.50,Warning
1103267,12.56,20.48,1002.78,39.36,87.51,Warning
1105285,12.33,20.48,1002.78,39.37,87.54,Warning
1107303,12.79,20.48,1002.77,39.36,87.59,Warning
1109321,12.33,20.48,1002.78,39.36,87.57,Warning
1111341,12.56,20.48,1002.77,39.37,87.62,Warning
1113359,12.79,20.48,1002.77,39.40,87.59,Warning
1115377,12.79,20.48,1002.77,39.37,87.61,Warning
1117395,13.02,20.48,1002.77,39.37,87.62,Warning
1119413,12.56,20.48,1002.77,39.40,87.63,Warning
1121431,12.56,20.48,1002.77,39.39,87.63,Warning
1123449,12.79,20.48,1002.76,39.40,87.67,Warning
1125467,12.79,20.48,1002.76,39.37,87.67,Warning
1127485,12.56,20.48,1002.77,39.36,87.66,Warning
1129503,12.79,20.47,1002.76,39.36,87.71,Warning
1131523,12.79,20.47,1002.76,39.37,87.68,Warning
1133541,12.79,20.47,1002.77,39.40,87.63,Warning
1135559,12.56,20.47,1002.77,39.40,87.62,Warning
1137577,12.56,20.47,1002.77,39.39,87.62,Warning
1139595,12.56,20.47,1002.77,39.40,87.61,Warning
1141613,12.33,20.47,1002.78,39.39,87.58,Warning
1143631,12.56,20.47,1002.78,39.36,87.56,Warning
1145649,12.79,20.47,1002.77,39.36,87.59,Warning
1147667,12.79,20.47,1002.77,39.37,87.61,Warning
1149685,12.56,20.47,1002.77,39.36,87.63,Warning
1151703,12.56,20.47,1002.77,39.36,87.65,Warning
1153723,12.79,20.47,1002.77,39.35,87.63,Warning
1155741,12.79,20.47,1002.77,39.35,87.62,Warning
1157759,12.56,20.47,1002.77,39.37,87.62,Warning
1159777,12.79,20.47,1002.77,39.36,87.61,Warning
1161795,13.02,20.47,1002.77,39.36,87.61,Warning
1163813,12.56,20.47,1002.77,39.36,87.61,Warning
1165831,12.56,20.47,1002.77,39.36,87.59,Warning
1167849,12.33,20.47,1002.78,39.36,87.56,Warning
1169867,12.79,20.47,1002.78,39.37,87.55,Warning
1171885,12.79,20.47,1002.78,39.37,87.55,Warning
1173905,12.33,20.47,1002.78,39.37,87.55,Warning
1175923,12.56,20.47,1002.78,39.37,87.56,Warning
1177941,12.56,20.47,1002.78,39.36,87.58,Warning
1179959,12.79,20.47,1002.78,39.37,87.58,Warning
1181977,12.79,20.47,1002.77,39.35,87.59,Warning
1183995,12.79,20.47,1002.78,39.35,87.56,Warning
1186013,12.56,20.47,1002.78,39.34,87.56,Warning
1188031,12.56,20.47,1002.77,39.37,87.59,Warning
1190049,12.79,20.47,1002.78,39.36,87.58,Warning
1192067,12.56,20.47,1002.78,39.36,87.58,Warning
1194085,12.79,20.47,1002.77,39.37,87.59,Warning
1196112,12.79,20.47,1002.78,39.37,87.56,Warning
1198130,12.56,20.47,1002.79,39.35,87.49,Warning
1200148,12.79,20.47,1002.79,39.36,87.46,Warning
1202166,12.79,20.47,1002.80,39.37,87.38,Warning
1204184,13.02,20.47,1002.80,39.37,87.33,Warning
1206202,13.02,20.47,1002.80,39.37,87.33,Warning
1208220,12.56,20.47,1002.80,39.39,87.35,Warning
1210238,12.79,20.47,1002.81,39.36,87.32,Warning
1212256,12.79,20.47,1002.81,39.34,87.28,Warning
1214274,12.79,20.47,1002.81,39.37,87.29,Warning
1216294,12.79,20.47,1002.80,39.47,87.35,Warning
1218312,13.02,20.47,1002.80,39.53,87.39,Warning
1220330,13.26,20.47,1002.79,39.54,87.42,Warning
1222348,12.56,20.47,1002.79,39.50,87.48,Warning
1224366,12.33,20.47,1002.78,39.40,87.53,Warning
1226384,13.02,20.47,1002.78,39.35,87.54,Warning
1228402,12.79,20.47,1002.77,39.34,87.59,Warning
1230420,12.79,20.47,1002.77,39.35,87.59,Warning
1232438,13.02,20.47,1002.77,39.37,87.61,Warning
1234456,13.02,20.47,1002.77,39.32,87.63,Warning
1236476,12.79,20.47,1002.77,39.20,87.64,Warning
1238494,13.02,20.46,1002.76,39.20,87.69,Warning
1240512,12.79,20.46,1002.76,39.19,87.69,Warning
1242530,12.79,20.46,1002.76,39.20,87.69,Warning
1244548,12.79,20.46,1002.76,39.20,87.71,Warning
1246566,12.79,20.46,1002.76,39.34,87.68,Warning
1248584,13.26,20.46,1002.76,39.28,87.68,Warning
1250602,13.02,20.46,1002.76,39.26,87.70,Warning
1252620,13.02,20.46,1002.76,39.28,87.69,Warning
1254638,13.02,20.46,1002.76,39.29,87.70,Warning
1256656,12.79,20.46,1002.77,39.31,87.64,Warning
1258676,13.02,20.46,1002.77,39.26,87.60,Warning
1260694,12.56,20.45,1002.77,39.27,87.62,Warning
1262712,12.56,20.45,1002.77,39.30,87.64,Warning
1264730,12.79,20.45,1002.77,39.27,87.64,Warning
1266748,12.79,20.45,1002.77,39.29,87.62,Warning
1268766,13.02,20.45,1002.78,39.27,87.57,Warning
1270784,13.02,20.45,1002.79,39.27,87.49,Warning
1272802,13.02,20.45,1002.79,39.26,87.45,Warning
1274820,13.02,20.45,1002.80,39.24,87.41,Warning
1276838,12.79,20.44,1002.80,39.25,87.40,Warning
1278858,13.02,20.44,1002.79,39.26,87.44,Warning
1280876,13.02,20.44,1002.80,39.32,87.39,Warning
1282894,13.26,20.44,1002.80,39.33,87.38,Warning
1284912,13.02,20.44,1002.79,39.35,87.41,Warning
1286930,13.02,20.44,1002.79,39.39,87.44,Warning
1288948,12.79,20.44,1002.79,39.42,87.49,Warning
1290966,13.02,20.44,1002.78,39.44,87.54,Warning
1292984,13.02,20.43,1002.77,39.47,87.60,Warning
1295002,13.02,20.43,1002.77,39.43,87.58,Warning
1297020,13.26,20.43,1002.77,39.39,87.62,Warning
1299038,12.79,20.43,1002.77,39.37,87.62,Warning
1301058,12.79,20.43,1002.77,39.39,87.61,Warning
1303076,12.79,20.43,1002.77,39.44,87.63,Warning
1305094,13.02,20.43,1002.77,39.53,87.60,Warning
1307112,13.26,20.43,1002.77,39.56,87.58,Warning
1309130,13.02,20.43,1002.77,39.45,87.58,Warning
1311148,13.26,20.43,1002.77,39.42,87.60,Warning
1313166,13.26,20.43,1002.77,39.33,87.60,Warning
1315184,12.79,20.43,1002.77,39.25,87.59,Warning
1317202,12.79,20.43,1002.77,39.25,87.60,Warning
1319220,13.02,20.43,1002.77,39.16,87.59,Warning
1321240,13.26,20.42,1002.77,39.16,87.65,Warning
1323258,13.02,20.42,1002.77,39.13,87.60,Warning
1325276,12.79,20.42,1002.77,39.15,87.60,Warning
1327294,13.02,20.42,1002.77,39.11,87.60,Warning
1329312,12.56,20.42,1002.77,39.00,87.60,Warning
1331330,12.79,20.42,1002.77,38.94,87.60,Warning
1333348,12.79,20.42,1002.77,38.97,87.61,Warning
1335366,12.79,20.42,1002.77,39.03,87.63,Warning
1337384,12.79,20.42,1002.77,39.05,87.63,Warning
1339402,13.02,20.42,1002.77,39.07,87.60,Warning
1341420,12.79,20.42,1002.77,39.08,87.60,Warning
1343447,12.79,20.42,1002.77,39.03,87.60,Warning
1345465,13.02,20.42,1002.77,38.97,87.60,Warning
1347483,13.26,20.42,1002.77,39.05,87.60,Warning
1349501,13.02,20.42,1002.77,39.10,87.60,Warning
1351519,12.79,20.42,1002.77,39.11,87.61,Warning
1353537,13.02,20.42,1002.77,39.21,87.63,Warning
1355555,13.02,20.42,1002.77,39.27,87.61,Warning
1357573,13.02,20.42,1002.77,39.27,87.66,Warning
1359591,13.26,20.42,1002.77,39.25,87.66,Warning
1361609,13.02,20.42,1002.77,39.11,87.62,Warning
1363636,13.02,20.42,1002.77,38.99,87.60,Warning
1365654,12.79,20.42,1002.77,38.93,87.59,Warning
1367672,13.02,20.42,1002.77,38.94,87.58,Warning
1369690,13.02,20.42,1002.78,38.99,87.57,Warning
1371708,13.02,20.42,1002.78,39.02,87.57,Warning
1373726,13.02,20.42,1002.78,39.04,87.57,Warning
1375744,12.79,20.42,1002.78,39.07,87.55,Warning
1377762,13.02,20.42,1002.78,39.14,87.55,Warning
1379780,13.02,20.42,1002.78,39.13,87.56,Warning
1381798,12.79,20.42,1002.77,39.13,87.59,Warning
1383816,12.79,20.42,1002.77,39.11,87.60,Warning
1385836,13.02,20.42,1002.77,39.14,87.60,Warning
1387854,13.26,20.42,1002.78,39.14,87.55,Warning
1389872,13.26,20.42,1002.78,39.22,87.57,Warning
1391890,13.02,20.42,1002.78,39.25,87.57,Warning
1393908,12.79,20.42,1002.77,39.27,87.60,Warning
1395926,13.26,20.42,1002.77,39.28,87.63,Warning
1397944,12.79,20.43,1002.77,39.33,87.62,Warning
1399962,13.26,20.43,1002.77,39.33,87.62,Warning
1401980,13.26,20.43,1002.77,39.33,87.62,Warning
1403998,13.26,20.43,1002.77,39.34,87.63,Warning
1406018,13.02,20.43,1002.77,39.36,87.60,Warning
1408036,12.79,20.48,1002.79,50.02,87.44,Warning
1410054,14.70,20.53,1002.80,41.60,87.35,Warning
1412072,14.95,20.54,1002.81,41.55,87.28,Warning
1414090,14.95,20.56,1002.82,43.64,87.21,Warning
1416108,15.20,20.56,1002.82,41.12,87.20,Warning
1418126,14.70,20.56,1002.82,40.32,87.18,Warning
1420144,14.95,20.57,1002.82,40.02,87.17,Warning
1422162,14.95,20.57,1002.82,39.92,87.23,Warning
1424180,14.95,20.57,1002.82,39.75,87.24,Warning
1426198,14.95,20.57,1002.81,39.65,87.28,Warning
1428218,14.70,20.57,1002.80,39.54,87.34,Warning
1430236,15.45,20.57,1002.80,39.49,87.40,Warning
1432254,14.46,20.57,1002.79,39.46,87.42,Warning
1434272,14.46,20.56,1002.79,39.47,87.45,Warning
1436290,14.70,20.56,1002.79,39.52,87.45,Warning
1438308,14.70,20.56,1002.79,39.48,87.42,Warning
1440326,14.70,20.56,1002.79,39.55,87.43,Warning
1442344,14.95,20.56,1002.79,39.67,87.44,Warning
1444362,14.95,20.56,1002.80,39.68,87.40,Warning
1446380,15.20,20.55,1002.79,39.66,87.42,Warning
1448400,15.20,20.55,1002.79,39.66,87.44,Warning
1450418,15.20,20.55,1002.79,39.53,87.44,Warning
1452436,15.20,20.55,1002.79,39.46,87.43,Warning
1454454,15.20,20.54,1002.79,39.39,87.45,Warning
1456472,14.95,20.54,1002.79,39.34,87.46,Warning
1458490,15.20,20.54,1002.79,39.31,87.44,Warning
1460508,14.70,20.53,1002.79,39.31,87.43,Warning
1462526,14.95,20.53,1002.79,39.27,87.45,Warning
1464544,15.20,20.53,1002.79,39.27,87.46,Warning
1466562,15.20,20.53,1002.79,39.26,87.45,Warning
1468582,15.20,20.52,1002.79,39.21,87.43,Warning
1470600,15.45,20.52,1002.80,38.92,87.41,Warning
1472618,15.20,20.52,1002.79,38.72,87.41,Warning
1474636,15.20,20.52,1002.79,38.56,87.44,Warning
1476654,15.20,20.51,1002.79,38.49,87.44,Warning
1478672,15.70,20.51,1002.79,38.48,87.45,Warning
1480690,15.20,20.51,1002.79,38.47,87.47,Warning
1482708,15.45,20.51,1002.79,38.46,87.48,Warning
1484726,15.45,20.50,1002.79,38.44,87.48,Warning
1486744,15.70,20.50,1002.78,38.50,87.52,Warning
1488762,15.70,20.50,1002.78,38.65,87.50,Warning
1490782,15.70,20.50,1002.78,38.73,87.53,Warning
1492800,16.22,20.50,1002.78,38.79,87.56,Warning
1494818,16.22,20.50,1002.78,38.82,87.58,Warning
1496836,15.45,20.50,1002.78,38.85,87.58,Warning
1498854,15.45,20.49,1002.77,38.93,87.58,Warning
1500872,15.70,20.49,1002.77,38.96,87.59,Warning
1502890,15.70,20.49,1002.77,39.04,87.62,Warning
1504908,15.20,20.49,1002.77,39.02,87.66,Warning
1506926,15.70,20.49,1002.77,39.10,87.64,Warning
1508944,15.70,20.48,1002.77,39.18,87.62,Warning
1510964,15.96,20.48,1002.77,39.17,87.60,Warning
1512982,15.70,20.48,1002.77,39.20,87.59,Warning
1515000,15.96,20.48,1002.77,39.20,87.60,Warning
1517018,16.22,20.47,1002.77,39.23,87.62,Warning
1519036,15.96,20.47,1002.77,39.20,87.66,Warning
1521054,15.96,20.47,1002.77,39.22,87.64,Warning
1523072,16.22,20.47,1002.76,39.22,87.69,Warning
1525090,15.70,20.47,1002.77,39.22,87.66,Warning
1527108,15.96,20.47,1002.77,39.22,87.65,Warning
1529126,15.96,20.47,1002.77,39.22,87.61,Warning
1531144,15.96,20.47,1002.77,39.21,87.63,Warning
1533171,16.74,20.47,1002.77,39.19,87.63,Warning
1535189,16.74,20.47,1002.77,39.20,87.61,Warning
1537207,16.48,20.47,1002.77,39.20,87.63,Warning
1539225,15.96,20.47,1002.77,39.20,87.64,Warning
1541243,16.22,20.47,1002.78,39.20,87.57,Warning
1543261,15.45,20.47,1002.78,39.19,87.51,Warning
1545279,15.45,20.47,1002.79,39.19,87.46,Warning
1547297,15.20,20.47,1002.80,39.13,87.40,Warning
1549315,15.45,20.47,1002.80,39.14,87.36,Warning
1551333,15.96,20.47,1002.80,39.11,87.36,Warning
1553353,15.96,20.47,1002.80,39.09,87.34,Warning
1555371,16.74,20.47,1002.81,39.07,87.31,Warning
1557389,16.74,20.47,1002.81,39.06,87.30,Warning
1559407,16.74,20.46,1002.80,39.03,87.36,Warning
1561425,16.74,20.46,1002.80,39.03,87.40,Warning
1563443,17.53,20.46,1002.79,39.04,87.43,Warning
1565461,16.22,20.46,1002.79,39.06,87.43,Warning
1567479,16.74,20.46,1002.79,39.04,87.46,Warning
1569497,17.00,20.46,1002.78,39.04,87.50,Warning
1571515,17.00,20.46,1002.78,39.04,87.56,Warning
1573533,17.00,20.46,1002.77,39.04,87.59,Warning
1575553,17.27,20.46,1002.77,39.06,87.62,Warning
1577571,17.53,20.46,1002.77,39.09,87.64,Warning
1579589,17.80,20.46,1002.76,39.09,87.67,Warning
1581607,17.53,20.46,1002.76,39.13,87.67,Warning
1583625,17.80,20.46,1002.76,39.15,87.67,Warning
1585650,17.53,20.46,1002.76,39.15,87.69,Warning
1587668,17.80,20.46,1002.76,39.18,87.70,Warning
1589686,17.80,20.46,1002.76,39.19,87.68,Warning
1591722,19.46,20.46,1002.76,39.14,87.73,Warning
1593740,18.07,20.46,1002.76,39.13,87.75,Warning
