Timestamp(ms),CO_PPM,Temperature(C),Pressure(hPa),Humidity(%),Altitude(m),Status
116149,3.99,14.81,996.36,19.38,141.62,Safe
118167,3.85,14.83,996.36,19.33,141.61,Safe
120185,3.85,14.86,996.35,19.29,141.69,Safe
122203,3.71,14.89,996.35,19.24,141.66,Safe
124221,3.71,14.92,996.34,19.19,141.71,Safe
126239,3.71,14.95,996.33,19.16,141.79,Safe
128257,3.58,14.98,996.33,19.09,141.82,Safe
130275,3.44,15.00,996.35,19.05,141.69,Safe
132293,3.44,15.03,996.34,19.00,141.79,Safe
134311,3.44,15.06,996.35,18.94,141.69,Safe
136331,3.44,15.08,996.35,18.90,141.69,Safe
138349,3.31,15.11,996.35,18.87,141.68,Safe
140367,3.31,15.14,996.34,18.78,141.71,Safe
142385,3.18,15.16,996.36,18.78,141.57,Safe
144403,3.18,15.19,996.35,18.73,141.63,Safe
146421,3.18,15.21,996.37,18.68,141.51,Safe
148439,3.18,15.24,996.37,18.66,141.47,Safe
150457,3.18,15.26,996.38,18.62,141.43,Safe
152475,3.18,15.29,996.37,18.55,141.51,Safe
154493,3.05,15.31,996.39,18.52,141.32,Safe
156511,3.05,15.34,996.38,18.48,141.44,Safe
158529,2.92,15.36,996.39,18.43,141.35,Safe
160549,2.92,15.38,996.38,18.41,141.43,Safe
162567,2.92,15.40,996.39,18.36,141.37,Safe
164585,2.92,15.43,996.37,18.32,141.47,Safe
166603,2.80,15.44,996.40,18.30,141.28,Safe
168621,2.80,15.47,996.39,18.23,141.37,Safe
170639,2.80,15.48,996.41,18.18,141.20,Safe
172657,2.80,15.51,996.41,18.19,141.18,Safe
174675,2.80,15.53,996.42,18.13,141.09,Safe
176693,2.67,15.55,996.41,18.09,141.16,Safe
178711,2.67,15.56,996.44,18.08,140.94,Safe
180729,2.67,15.58,996.42,18.02,141.11,Safe
182758,2.67,15.60,996.43,18.00,140.97,Safe
184778,2.67,15.62,996.42,17.97,141.06,Safe
186798,2.55,15.64,996.42,17.95,141.09,Safe
188818,2.55,15.65,996.39,17.89,141.36,Safe
190838,2.55,15.67,996.40,17.90,141.25,Safe
192858,2.55,15.69,996.36,17.87,141.54,Safe
194878,2.55,15.70,996.39,17.83,141.32,Safe
196898,2.55,15.72,996.38,17.79,141.43,Safe
198918,2.55,15.74,996.39,17.77,141.30,Safe
200938,2.55,15.76,996.37,17.73,141.51,Safe
202958,2.43,15.77,996.40,17.73,141.25,Safe
204978,2.43,15.79,996.38,17.67,141.42,Safe
207000,2.43,15.80,996.42,17.65,141.07,Safe
209020,2.43,15.82,996.41,17.62,141.14,Safe
211040,2.43,15.84,996.42,17.59,141.03,Safe
213060,2.43,15.85,996.40,17.54,141.21,Safe
215080,2.43,15.86,996.44,17.54,140.94,Safe
217100,2.32,15.88,996.42,17.51,141.10,Safe
219120,2.32,15.89,996.45,17.47,140.85,Safe
221140,2.32,15.91,996.42,17.45,141.10,Safe
223160,2.32,15.92,996.44,17.42,140.89,Safe
225180,2.32,15.93,996.43,17.36,140.95,Safe
227200,2.32,15.94,996.48,17.36,140.56,Safe
229222,2.32,15.96,996.47,17.32,140.64,Safe
231242,2.32,15.96,996.51,17.30,140.32,Safe
233262,2.20,15.98,996.49,17.29,140.48,Safe
235282,2.20,15.98,996.51,17.27,140.29,Safe
237302,2.20,16.00,996.48,17.22,140.52,Safe
239322,2.20,16.00,996.50,17.23,140.39,Safe
241342,2.20,16.02,996.46,17.20,140.71,Safe
243389,2.20,16.03,996.49,17.17,140.45,Safe
245409,2.20,16.04,996.46,17.15,140.77,Safe
247429,2.20,16.05,996.47,17.12,140.66,Safe
249449,2.20,16.06,996.43,17.09,141.00,Safe
251469,2.20,16.07,996.43,17.08,140.95,Safe
253491,2.20,16.08,996.41,17.05,141.17,Safe
255511,2.20,16.08,996.43,17.05,140.97,Safe
257531,2.20,16.09,996.41,17.04,141.13,Safe
259551,2.09,16.09,996.42,17.02,141.10,Safe
261571,2.09,16.10,996.41,16.99,141.14,Safe
263591,2.09,16.10,996.42,16.97,141.03,Safe
265611,2.09,16.10,996.41,16.93,141.16,Safe
267631,2.09,16.10,996.43,16.94,141.00,Safe
269651,2.09,16.11,996.42,16.93,141.08,Safe
271671,2.09,16.11,996.44,16.88,140.93,Safe
273691,2.09,16.11,996.43,16.90,141.02,Safe
275711,2.09,16.11,996.44,16.87,140.90,Safe
277733,2.09,16.11,996.43,16.85,140.99,Safe
279753,2.09,16.11,996.45,16.83,140.81,Safe
281773,2.09,16.11,996.43,16.83,140.97,Safe
283793,1.98,16.12,996.44,16.81,140.93,Safe
285813,1.98,16.12,996.42,16.80,141.04,Safe
287833,1.98,16.13,996.42,16.77,141.07,Safe
289853,1.98,16.13,996.41,16.74,141.17,Safe
291873,1.98,16.14,996.42,16.74,141.04,Safe
293893,1.98,16.14,996.41,16.74,141.17,Safe
295913,1.98,16.15,996.42,16.73,141.09,Safe
297933,1.98,16.15,996.42,16.71,141.08,Safe
299955,1.98,16.15,996.43,16.70,141.00,Safe
301975,1.98,16.16,996.43,16.67,141.00,Safe
303995,1.98,16.16,996.45,16.67,140.86,Safe
306015,1.98,16.16,996.44,16.66,140.88,Safe
308035,1.98,16.16,996.45,16.63,140.81,Safe
310055,1.98,16.17,996.46,16.62,140.78,Safe
312075,1.98,16.17,996.46,16.61,140.71,Safe
314095,1.87,16.17,996.46,16.58,140.76,Safe
316115,1.87,16.18,996.48,16.57,140.57,Safe
318135,1.87,16.18,996.48,16.57,140.57,Safe
320155,1.87,16.19,996.48,16.53,140.53,Safe
322175,1.87,16.19,996.50,16.53,140.42,Safe
324197,1.87,16.19,996.49,16.52,140.46,Safe
326217,1.87,16.20,996.49,16.49,140.46,Safe
328237,1.87,16.20,996.50,16.50,140.36,Safe
330257,1.87,16.21,996.50,16.49,140.44,Safe
332277,1.87,16.21,996.50,16.46,140.42,Safe
334297,1.87,16.22,996.51,16.47,140.29,Safe
336317,1.87,16.22,996.51,16.45,140.34,Safe
338337,1.87,16.23,996.51,16.41,140.28,Safe
340357,1.87,16.23,996.52,16.45,140.24,Safe
342377,1.87,16.23,996.51,16.43,140.28,Safe
344397,1.87,16.24,996.50,16.40,140.36,Safe
346417,1.87,16.24,996.51,16.40,140.31,Safe
348439,1.87,16.25,996.49,16.39,140.45,Safe
350459,1.87,16.25,996.50,16.37,140.44,Safe
352479,1.87,16.25,996.50,16.37,140.41,Safe
354499,1.87,16.25,996.49,16.35,140.45,Safe
356519,1.87,16.26,996.49,16.34,140.52,Safe
358539,1.87,16.26,996.49,16.35,140.48,Safe
360559,1.87,16.26,996.47,16.33,140.65,Safe
362579,1.77,16.27,996.47,16.33,140.61,Safe
364599,1.77,16.27,996.47,16.32,140.67,Safe
366619,1.77,16.27,996.47,16.31,140.66,Safe
368639,1.77,16.28,996.45,16.28,140.78,Safe
370668,1.77,16.28,996.47,16.29,140.66,Safe
372688,1.77,16.29,996.46,16.27,140.74,Safe
374708,1.77,16.30,996.47,16.27,140.64,Safe
376728,1.77,16.31,996.46,16.27,140.71,Safe
378748,1.77,16.32,996.47,16.23,140.67,Safe
380768,1.77,16.33,996.46,16.24,140.72,Safe
382788,1.77,16.34,996.48,16.25,140.59,Safe
384808,1.77,16.36,996.47,16.21,140.67,Safe
386828,1.77,16.37,996.49,16.20,140.49,Safe
388848,1.77,16.38,996.48,16.20,140.56,Safe
390868,1.77,16.39,996.50,16.16,140.43,Safe
392888,1.77,16.40,996.47,16.16,140.62,Safe
394910,1.77,16.41,996.51,16.18,140.35,Safe
396930,1.77,16.42,996.48,16.14,140.59,Safe
398950,1.77,16.43,996.51,16.14,140.31,Safe
400970,1.77,16.44,996.49,16.14,140.48,Safe
402990,1.77,16.44,996.51,16.12,140.30,Safe
405010,1.66,16.45,996.50,16.14,140.40,Safe
407030,1.77,16.45,996.53,16.12,140.12,Safe
409050,1.66,16.46,996.51,16.12,140.29,Safe
411070,1.66,16.46,996.55,16.09,139.94,Safe
413090,1.66,16.46,996.54,16.12,140.06,Safe
415110,1.66,16.46,996.56,16.09,139.87,Safe
417130,1.66,16.46,996.56,16.08,139.92,Safe
419152,1.66,16.46,996.59,16.11,139.64,Safe
421172,1.66,16.47,996.57,16.07,139.83,Safe
423192,1.66,16.46,996.61,16.07,139.49,Safe
425212,1.66,16.47,996.59,16.06,139.65,Safe
427232,1.66,16.47,996.61,16.03,139.50,Safe
429252,1.66,16.47,996.59,16.04,139.63,Safe
431272,1.66,16.47,996.61,16.04,139.43,Safe
433292,1.66,16.47,996.59,16.02,139.67,Safe
435312,1.66,16.47,996.62,16.03,139.39,Safe
437332,1.66,16.47,996.59,16.03,139.61,Safe
439352,1.66,16.47,996.61,16.02,139.50,Safe
441374,1.66,16.47,996.59,16.00,139.65,Safe
443394,1.66,16.47,996.61,16.01,139.45,Safe
445414,1.66,16.48,996.59,16.00,139.67,Safe
447434,1.66,16.47,996.63,16.00,139.29,Safe
449454,1.77,16.46,996.70,16.02,138.75,Safe
451474,1.77,16.46,996.75,16.03,138.25,Safe
453494,1.77,16.46,996.80,16.07,137.90,Safe
455514,1.77,16.45,996.83,16.11,137.65,Safe
457534,1.77,16.45,996.84,16.12,137.50,Safe
459554,1.77,16.45,996.85,16.15,137.42,Safe
461574,1.77,16.45,996.86,16.18,137.34,Safe
Timestamp(ms),CO_PPM,Temperature(C),Pressure(hPa),Humidity(%),Altitude(m),Status
3188,13.49,19.67,1004.74,34.76,71.07,Warning
5208,13.49,19.72,1004.72,34.75,71.27,Warning
7228,13.49,19.71,1004.73,34.86,71.14,Warning
9248,13.49,19.71,1004.74,34.97,71.08,Warning
11268,13.49,19.70,1004.75,34.95,71.02,Warning
13288,13.26,19.70,1004.75,34.89,70.98,Warning
15308,13.49,19.70,1004.76,34.78,70.96,Warning
17328,13.26,19.70,1004.76,34.78,70.96,Warning
19348,13.26,19.70,1004.76,34.85,70.93,Warning
21368,13.26,19.70,1004.76,34.79,70.92,Warning
23390,13.02,19.69,1004.76,34.69,70.94,Warning
25410,13.26,19.69,1004.76,34.76,70.91,Warning
27430,13.26,19.69,1004.76,34.89,70.92,Warning
29450,13.02,19.69,1004.76,35.03,70.89,Warning
31470,13.02,19.69,1004.76,34.97,70.90,Warning
33490,13.02,19.69,1004.77,35.03,70.87,Warning
35510,13.02,19.69,1004.77,35.08,70.88,Warning
37530,13.02,19.68,1004.77,35.04,70.87,Warning
39550,13.02,19.68,1004.77,34.87,70.87,Warning
41570,12.79,19.68,1004.77,35.08,70.88,Warning
43590,13.02,19.68,1004.76,35.13,70.89,Warning
45612,12.79,19.68,1004.77,35.29,70.87,Warning
47632,12.79,19.68,1004.77,35.10,70.86,Warning
49652,12.79,19.67,1004.77,35.01,70.85,Warning
51672,12.79,19.67,1004.77,35.26,70.87,Warning
53692,12.79,19.67,1004.76,35.20,70.92,Warning
55712,12.79,19.67,1004.76,35.06,70.90,Warning
57732,11.44,19.67,1004.76,35.21,70.89,Warning
59752,10.57,19.67,1004.77,35.21,70.87,Warning
61772,9.33,19.67,1004.76,35.31,70.92,Warning
63792,8.73,19.67,1004.76,35.31,70.95,Warning
65812,8.54,19.68,1004.76,35.25,70.95,Warning
67834,8.35,19.68,1004.75,35.19,70.97,Warning
69854,8.15,19.69,1004.75,35.17,70.99,Warning
71874,10.15,19.69,1004.75,35.19,71.05,Warning
73894,7.97,19.70,1004.74,35.17,71.06,Warning
75914,7.05,19.70,1004.74,35.24,71.09,Warning
77934,6.52,19.71,1004.73,35.16,71.14,Warning
79954,6.35,19.72,1004.73,35.12,71.17,Warning
81974,6.18,19.72,1004.73,34.96,71.18,Warning
83994,6.01,19.73,1004.72,34.96,71.27,Warning
86014,6.01,19.73,1004.72,34.96,71.29,Warning
88034,6.01,19.73,1004.72,35.04,71.29,Warning
90062,6.01,19.73,1004.71,35.10,71.31,Warning
92082,6.01,19.73,1004.71,34.93,71.33,Warning
94102,5.84,19.73,1004.71,34.89,71.34,Warning
96122,5.84,19.72,1004.70,34.69,71.43,Warning
98142,5.84,19.72,1004.70,34.71,71.46,Warning
100162,6.01,19.72,1004.70,34.68,71.45,Warning
102182,5.68,19.71,1004.70,34.68,71.45,Warning
104202,5.84,19.71,1004.70,34.68,71.39,Warning
106222,5.68,19.71,1004.71,34.72,71.37,Warning
108242,5.84,19.70,1004.71,34.73,71.33,Warning
110262,5.68,19.70,1004.72,34.74,71.27,Warning
112284,5.84,19.70,1004.72,34.70,71.24,Warning
114304,5.68,19.70,1004.73,34.75,71.19,Warning
116324,5.68,19.69,1004.73,34.75,71.17,Warning
118344,5.68,19.69,1004.74,34.72,71.12,Warning
120364,5.68,19.69,1004.74,34.67,71.12,Warning
122384,5.68,19.68,1004.74,34.68,71.11,Warning
124404,9.33,19.68,1004.74,34.80,71.10,Warning
126424,12.33,19.68,1004.74,34.95,71.10,Warning
128444,8.54,19.68,1004.73,35.09,71.14,Warning
130464,5.68,19.68,1004.73,34.90,71.15,Warning
132484,4.88,19.69,1004.73,34.86,71.19,Safe
134506,4.43,19.69,1004.73,34.81,71.19,Safe
136526,4.14,19.69,1004.73,34.83,71.20,Safe
138546,3.99,19.70,1004.72,34.79,71.26,Safe
140566,3.99,19.70,1004.72,34.85,71.27,Safe
142586,3.85,19.70,1004.71,34.94,71.34,Safe
144606,3.85,19.71,1004.71,34.88,71.34,Safe
146626,3.85,19.71,1004.71,34.83,71.36,Safe
148646,3.85,19.72,1004.70,34.89,71.39,Safe
150666,3.85,19.73,1004.71,34.93,71.34,Safe
152686,3.71,19.73,1004.71,34.85,71.36,Safe
154706,3.71,19.73,1004.70,34.82,71.45,Safe
156726,3.71,19.73,1004.70,35.06,71.46,Safe
158748,3.71,19.73,1004.69,35.01,71.51,Safe
160768,3.71,19.73,1004.69,34.80,71.48,Safe
162788,3.58,19.72,1004.69,35.12,71.48,Safe
164808,3.58,19.72,1004.70,34.82,71.47,Safe
166828,3.58,19.72,1004.69,34.97,71.51,Safe
168848,3.58,19.72,1004.70,35.27,71.47,Safe
170868,3.58,19.71,1004.69,35.05,71.49,Safe
172888,3.58,19.71,1004.69,35.00,71.49,Safe
174908,3.58,19.70,1004.69,34.95,71.54,Safe
176928,3.58,19.70,1004.69,34.96,71.50,Safe
178948,3.58,19.69,1004.69,35.00,71.51,Safe
180970,3.58,19.68,1004.69,35.12,71.49,Safe
182990,3.58,19.68,1004.69,35.01,71.52,Safe
185010,3.58,19.68,1004.69,35.07,71.50,Safe
187030,3.58,19.67,1004.69,35.06,71.47,Safe
189050,3.58,19.67,1004.70,35.02,71.43,Safe
191070,3.58,19.66,1004.70,34.93,71.45,Safe
193090,3.58,19.66,1004.70,34.92,71.44,Safe
195110,3.58,19.66,1004.70,35.08,71.43,Safe
197130,3.58,19.66,1004.70,35.10,71.44,Safe
199150,3.58,19.65,1004.70,34.92,71.45,Safe
201170,3.58,19.65,1004.70,35.03,71.44,Safe
203190,3.58,19.65,1004.70,35.16,71.44,Safe
205212,3.44,19.65,1004.70,35.19,71.39,Safe
207232,3.44,19.64,1004.70,35.24,71.40,Safe
209252,3.44,19.64,1004.70,35.09,71.41,Safe
211272,3.44,19.64,1004.70,35.19,71.39,Safe
213292,3.58,19.64,1004.70,35.90,71.41,Safe
215312,168.82,19.65,1004.71,37.60,71.37,Unsafe
217332,525.67,19.66,1004.70,38.40,71.42,Unsafe
219352,443.26,19.68,1004.70,36.39,71.44,Unsafe
221372,376.11,19.69,1004.70,35.70,71.46,Unsafe
223392,195.30,19.71,1004.70,35.30,71.47,Unsafe
225412,99.88,19.72,1004.70,35.23,71.45,Unsafe
227434,61.70,19.73,1004.70,35.28,71.46,Unsafe
229454,37.70,19.74,1004.70,35.26,71.46,Unsafe
231474,32.73,19.76,1004.70,35.56,71.42,Unsafe
233494,22.37,19.77,1004.70,35.50,71.45,Warning
235514,28.82,19.78,1004.70,35.28,71.43,Warning
237534,819.93,19.80,1004.70,35.75,71.44,Unsafe
239554,989.21,19.82,1004.70,35.38,71.43,Unsafe
241574,1000.00,19.83,1004.70,35.19,71.44,Unsafe
243594,866.90,19.85,1004.70,35.51,71.42,Unsafe
245614,1000.00,19.87,1004.70,36.02,71.42,Unsafe
247634,703.97,19.89,1004.71,35.28,71.37,Unsafe
249686,348.44,19.90,1004.71,34.89,71.36,Unsafe
251706,177.68,19.91,1004.71,34.93,71.39,Unsafe
253726,93.46,19.92,1004.70,34.77,71.40,Unsafe
255746,1000.00,19.93,1004.70,35.04,71.41,Unsafe
257766,1000.00,19.94,1004.70,35.10,71.41,Unsafe
259786,1000.00,19.95,1004.70,35.03,71.43,Unsafe
261806,478.42,19.95,1004.70,35.00,71.40,Unsafe
263826,1000.00,19.96,1004.70,34.99,71.41,Unsafe
265846,598.81,19.96,1004.70,35.24,71.43,Unsafe
267866,255.77,19.97,1004.70,35.54,71.42,Unsafe
269894,146.28,19.98,1004.70,34.99,71.45,Unsafe
271914,99.15,19.99,1004.70,34.92,71.46,Unsafe
273934,74.09,20.00,1004.70,35.13,71.44,Unsafe
275954,262.00,20.01,1004.70,34.93,71.42,Unsafe
277974,183.40,20.01,1004.69,35.01,71.48,Unsafe
279994,123.56,20.02,1004.70,35.03,71.47,Unsafe
282014,88.66,20.03,1004.69,35.40,71.52,Unsafe
284034,116.07,20.03,1004.69,34.89,71.53,Unsafe
286054,116.07,20.03,1004.69,34.82,71.54,Unsafe
288074,98.43,20.03,1004.69,34.64,71.55,Unsafe
290094,94.86,20.03,1004.69,34.62,71.54,Unsafe
292116,115.26,20.03,1004.69,34.51,71.54,Unsafe
294136,85.34,20.03,1004.69,34.57,71.54,Unsafe
296156,64.94,20.03,1004.69,34.55,71.52,Unsafe
298176,50.22,20.03,1004.69,34.58,71.55,Unsafe
300196,42.21,20.03,1004.69,34.49,71.53,Unsafe
302216,37.30,20.03,1004.69,34.44,71.53,Unsafe
304236,628.05,20.03,1004.68,34.39,71.57,Unsafe
306256,486.93,20.03,1004.68,34.36,71.57,Unsafe
308276,290.04,20.03,1004.68,34.40,71.57,Unsafe
310296,168.82,20.03,1004.69,34.41,71.55,Unsafe
312316,124.42,20.03,1004.68,34.42,71.57,Unsafe
314338,96.99,20.03,1004.68,34.36,71.58,Unsafe
316358,662.82,20.03,1004.68,34.33,71.57,Unsafe
318378,448.49,20.03,1004.68,34.31,71.57,Unsafe
320398,260.43,20.03,1004.68,34.33,71.57,Unsafe
322418,157.23,20.03,1004.68,34.56,71.60,Unsafe
324438,103.58,20.03,1004.68,35.15,71.60,Unsafe
326458,74.09,20.03,1004.68,34.57,71.60,Unsafe
328478,57.54,20.03,1004.68,34.53,71.57,Unsafe
330498,47.46,20.02,1004.68,34.44,71.57,Unsafe
332518,40.95,20.02,1004.68,34.40,71.58,Unsafe
334538,36.91,20.01,1004.68,34.57,71.60,Unsafe
336560,33.84,20.01,1004.68,34.35,71.60,Unsafe
338580,31.64,20.00,1004.68,34.34,71.63,Unsafe
340600,29.86,19.99,1004.67,34.38,71.65,Warning
342620,28.14,19.99,1004.67,34.40,71.67,Warning
344640,26.80,19.98,1004.67,34.54,71.67,Warning
346660,25.81,19.97,1004.67,34.60,71.67,Warning
348680,24.53,19.97,1004.67,34.55,71.65,Warning
350700,23.91,19.96,1004.67,34.53,71.68,Warning
352720,22.67,19.95,1004.67,34.52,71.67,Warning
354740,21.77,19.95,1004.67,34.67,71.70,Warning
356762,21.18,19.95,1004.67,34.59,71.66,Warning
358782,20.60,19.94,1004.67,34.45,71.71,Warning
360802,20.02,19.93,1004.67,34.79,71.68,Warning
362822,19.46,19.93,1004.67,34.50,71.65,Warning
364842,18.90,19.92,1004.68,34.40,71.62,Warning
366862,18.62,19.92,1004.68,34.40,71.61,Warning
368882,18.07,19.91,1004.68,34.35,71.61,Warning
370902,17.53,19.90,1004.68,34.34,71.57,Warning
372922,17.27,19.89,1004.68,34.55,71.61,Warning
374942,17.00,19.89,1004.68,34.45,71.63,Warning
376962,16.74,19.88,1004.67,34.41,71.65,Warning
378984,16.22,19.87,1004.67,34.41,71.64,Warning
381004,18.34,19.86,1004.67,35.13,71.66,Warning
383024,17.80,19.86,1004.67,35.05,71.67,Warning
385044,17.00,19.85,1004.67,34.84,71.70,Warning
387064,16.22,19.85,1004.67,34.69,71.72,Warning
389084,15.70,19.85,1004.66,34.56,71.74,Warning
391104,15.20,19.85,1004.66,34.58,71.75,Warning
393124,14.95,19.85,1004.66,34.59,71.74,Warning
395144,14.70,19.85,1004.66,34.53,71.74,Warning
397164,14.21,19.85,1004.67,34.59,71.72,Warning
399184,13.97,19.84,1004.66,34.58,71.76,Warning
401206,13.73,19.84,1004.66,34.58,71.76,Warning
403226,13.49,19.84,1004.66,34.54,71.75,Warning
405246,13.49,19.84,1004.66,34.50,71.74,Warning
407266,13.26,19.84,1004.66,34.45,71.80,Warning
409286,13.02,19.84,1004.65,34.41,71.82,Warning
411306,13.02,19.84,1004.65,34.45,71.83,Warning
413326,12.79,19.84,1004.66,34.47,71.80,Warning
415346,12.56,19.84,1004.65,34.50,71.84,Warning
417366,13.02,19.84,1004.65,34.46,71.87,Warning
419386,13.49,19.85,1004.65,34.45,71.86,Warning
421408,13.26,19.85,1004.65,34.42,71.84,Warning
423428,47.46,19.85,1004.65,34.36,71.82,Unsafe
425448,38.49,19.86,1004.66,34.45,71.79,Unsafe
427468,33.84,19.86,1004.66,34.51,71.77,Unsafe
429488,29.16,19.86,1004.66,34.44,71.79,Warning
431508,25.17,19.86,1004.66,34.45,71.79,Warning
433528,21.77,19.86,1004.66,34.42,71.76,Warning
435548,18.90,19.85,1004.66,34.51,71.79,Warning
437568,17.00,19.85,1004.65,34.50,71.81,Warning
439588,15.45,19.84,1004.65,34.41,71.83,Warning
441608,14.70,19.84,1004.66,34.37,71.79,Warning
443637,14.21,19.84,1004.66,34.39,71.76,Warning
445657,14.46,19.84,1004.66,34.38,71.77,Warning
447677,14.46,19.83,1004.66,34.40,71.80,Warning
449697,13.73,19.83,1004.66,34.41,71.80,Warning
451717,13.02,19.83,1004.66,34.55,71.80,Warning
453737,12.33,19.83,1004.66,34.57,71.80,Warning
455757,11.88,19.82,1004.65,34.53,71.82,Warning
457777,11.66,19.82,1004.65,34.43,71.83,Warning
459797,11.44,19.82,1004.66,34.48,71.81,Warning
461817,11.22,19.82,1004.66,34.46,71.80,Warning
463837,11.00,19.81,1004.66,34.38,71.79,Warning
465859,10.78,19.81,1004.66,34.46,71.79,Warning
467879,10.78,19.80,1004.66,34.47,71.79,Warning
469899,10.57,19.80,1004.66,34.42,71.76,Warning
471919,10.57,19.79,1004.66,34.48,71.76,Warning
473939,10.36,19.79,1004.67,34.43,71.72,Warning
475959,9.94,19.78,1004.67,34.36,71.68,Warning
477979,9.94,19.78,1004.67,34.37,71.70,Warning
479999,9.94,19.78,1004.67,34.39,71.69,Warning
482019,9.94,19.77,1004.67,34.39,71.69,Warning
484039,9.74,19.76,1004.67,34.46,71.67,Warning
486061,9.74,19.76,1004.67,34.46,71.67,Warning
488081,9.53,19.75,1004.67,34.50,71.70,Warning
490101,9.53,19.75,1004.67,34.48,71.71,Warning
492128,9.33,19.74,1004.66,34.44,71.74,Warning
494148,9.33,19.74,1004.66,34.40,71.73,Warning
496168,9.33,19.73,1004.66,34.49,71.76,Warning
498188,9.33,19.73,1004.66,34.56,71.76,Warning
500208,9.33,19.73,1004.66,34.78,71.76,Warning
502228,9.94,19.73,1004.66,34.56,71.77,Warning
504248,9.74,19.73,1004.66,34.50,71.78,Warning
506268,9.74,19.73,1004.66,34.41,71.78,Warning
508290,9.33,19.73,1004.66,34.43,71.76,Warning
510310,11.00,19.73,1004.66,34.52,71.75,Warning
512330,10.57,19.74,1004.66,34.51,71.74,Warning
514350,69.41,19.74,1004.67,34.73,71.72,Unsafe
516370,75.29,19.74,1004.66,34.89,71.72,Unsafe
518390,61.17,19.75,1004.67,34.84,71.71,Unsafe
520410,46.56,19.75,1004.67,34.76,71.72,Unsafe
522430,36.13,19.76,1004.67,34.62,71.69,Unsafe
524450,29.16,19.76,1004.67,34.49,71.68,Warning
526470,23.59,19.76,1004.67,34.48,71.67,Warning
528490,19.74,19.77,1004.67,34.54,71.65,Warning
530512,16.74,19.78,1004.68,34.60,71.63,Warning
532532,14.70,19.78,1004.67,34.71,71.64,Warning
534552,13.97,19.78,1004.68,34.60,71.63,Warning
536572,87.99,19.78,1004.67,34.58,71.65,Unsafe
538592,168.82,19.79,1004.68,34.89,71.62,Unsafe
540612,119.36,19.79,1004.67,34.81,71.66,Unsafe
542632,78.96,19.80,1004.67,34.81,71.65,Unsafe
