Timestamp(ms),CO_PPM,Temperature(C),Pressure(hPa),Humidity(%),Altitude(m),Status
3163,16.74,16.03,996.40,26.23,141.25,Warning
5179,591.73,16.11,996.41,26.04,141.16,Unsafe
7195,616.91,16.14,996.41,25.84,141.12,Unsafe
9211,595.26,16.20,996.42,25.59,141.04,Unsafe
11227,598.81,16.25,996.43,25.36,140.98,Unsafe
13243,528.78,16.31,996.43,25.09,140.99,Unsafe
15259,422.94,16.35,996.43,24.85,141.02,Unsafe
17275,318.92,16.38,996.41,24.59,141.19,Unsafe
19291,232.14,16.39,996.38,24.35,141.41,Unsafe
21307,168.82,16.39,996.36,24.11,141.59,Unsafe
23325,126.14,16.37,996.33,23.83,141.83,Unsafe
25341,96.99,16.33,996.30,23.56,142.07,Unsafe
27357,77.11,16.27,996.28,23.31,142.24,Unsafe
29373,62.77,16.19,996.26,23.07,142.41,Unsafe
31389,51.16,16.11,996.24,22.84,142.59,Unsafe
33405,42.63,16.01,996.23,22.59,142.65,Unsafe
35421,36.52,15.89,996.21,22.29,142.79,Unsafe
37439,31.28,15.73,996.23,22.12,142.66,Unsafe
39457,27.13,15.60,996.25,21.93,142.55,Warning
41475,23.91,15.45,996.26,21.81,142.40,Warning
43493,20.89,15.32,996.28,21.67,142.27,Warning
45513,18.90,15.18,996.31,21.56,141.98,Warning
47531,17.27,15.06,996.34,21.49,141.74,Warning
49549,15.20,14.95,996.34,21.39,141.74,Warning
51567,14.21,14.84,996.35,21.29,141.65,Warning
53585,13.02,14.75,996.35,21.25,141.66,Warning
55603,11.88,14.67,996.34,21.14,141.71,Warning
57621,11.22,14.60,996.33,21.02,141.82,Warning
59639,10.57,14.54,996.32,21.00,141.90,Warning
61657,9.74,14.50,996.30,20.92,142.11,Warning
63675,9.33,14.46,996.29,20.83,142.14,Warning
65693,8.73,14.44,996.27,20.79,142.36,Warning
67713,8.35,14.42,996.27,20.71,142.37,Warning
69731,7.97,14.40,996.25,20.62,142.48,Warning
71749,7.59,14.40,996.26,20.57,142.43,Warning
73767,7.23,14.40,996.25,20.49,142.55,Warning
75785,6.87,14.40,996.26,20.42,142.44,Warning
77803,6.69,14.41,996.25,20.42,142.52,Warning
79821,6.35,14.42,996.26,20.32,142.44,Warning
81839,6.18,14.43,996.27,20.24,142.33,Warning
83857,6.01,14.44,996.29,20.23,142.17,Warning
85875,5.84,14.45,996.30,20.12,142.13,Warning
87893,5.52,14.47,996.32,20.07,141.91,Warning
89913,5.35,14.48,996.33,20.05,141.80,Warning
91931,5.20,14.50,996.36,19.95,141.59,Warning
93949,5.20,14.52,996.37,19.94,141.46,Warning
95967,5.04,14.55,996.39,19.90,141.34,Warning
97985,4.88,14.57,996.39,19.84,141.34,Safe
100003,4.73,14.59,996.40,19.78,141.28,Safe
102021,4.58,14.62,996.39,19.76,141.35,Safe
104039,4.43,14.65,996.38,19.67,141.38,Safe
106057,4.43,14.67,996.39,19.62,141.35,Safe
108075,4.28,14.70,996.38,19.59,141.41,Safe
110093,4.28,14.73,996.37,19.52,141.46,Safe
112113,4.14,14.75,996.38,19.48,141.44,Safe
114131,3.99,14.78,996.36,19.44,141.54,Safe
